PID,Process Name,Process Path,Process SHA-256 Hash,VirusTotal Detection Summary
"6928","ActiveEndpointHash&IPInspector.exe","C:\Users\mikew\Downloads\ActiveEndpointInspectorSuite\ActiveEndpointHash&IPInspector.exe","a43fb41c5311aef1c5e54962ab1930be39bc330c03d8de394832c329a94b3882","We currently don't have any comments that fit your search"
"11804","AggregatorHost.exe","C:\WINDOWS\System32\AggregatorHost.exe","b279fece8c7ab56f84c9a478f2c6d5a280e67f05682c032e3df3eb2e4deaa8a7","No security vendors flagged this file as malicious"
"17688","ApMsgFwd.exe","C:\WINDOWS\system32\DellTPad\ApMsgFwd.exe","79a99d1b53b0ec161ff76c44d1f093cb59838e4a254eda702e2e8a5477b052fd","No security vendors flagged this file as malicious"
"12560","ApntEx.exe","C:\WINDOWS\system32\DellTPad\Apntex.exe","9c89772e86791a1cba4c405dac144c66889f2a5baa0ff5a71ea637a6aa73021e","No security vendors flagged this file as malicious"
"11820","Apoint.exe","C:\WINDOWS\system32\DellTPad\Apoint.exe","1fee7687a95a39216af476887985483c47f991877aed5452e89a9132cb2a79f8","No security vendors flagged this file as malicious"
"6608","AppActions.exe","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\AppActions.exe","e0050c3342bed6026817c0d33f908ff881926ff6e0948d81aa4a3e566b68492a","No security vendors flagged this file as malicious"
"4220","ApplicationFrameHost.exe","C:\WINDOWS\system32\ApplicationFrameHost.exe","71e9e013b724c0ea6b2d7d91151fd87ebc1179a0254d671c66415fe066b60907","No security vendors flagged this file as malicious"
"9472","ApRemote.exe","C:\WINDOWS\system32\DellTPad\ApRemote.exe","d6c57cf4618fa1fd1399ed0f79474bc06982f0e6ebb63ff3e2f329aa7572e0e3","No security vendors flagged this file as malicious"
"5232","armsvc.exe","C:\Program Files (x86)\Common Files\Adobe\ARM\1.0\armsvc.exe","48f8b40e023e8ae9b60d757d822f0d0ce14e31fec9e35c3ccf776830488496fb","No security vendors flagged this file as malicious"
"16248","audiodg.exe","C:\WINDOWS\system32\AUDIODG.EXE","0f8725c02604759add5a3b7fa51bb37848cdca9d098f89b8cf09588286a964c4","No security vendors flagged this file as malicious"
"5264","avp.exe","","",""
"10928","avpui.exe","","",""
"13000","avp_7D65C94A-2E46-4ABA-A075-8DB61D2FD6CD.exe","C:\ProgramData\Kaspersky Lab\KSDE5.22\temp\Setup\avp_7D65C94A-2E46-4ABA-A075-8DB61D2FD6CD.exe","b88d654b2631043955aa1d6edb7e8da3a8be202b2b924d422af5b6cb0cf45143","We currently don't have any comments that fit your search"
"15152","backgroundTaskHost.exe","C:\WINDOWS\system32\backgroundTaskHost.exe","b7d2c17e0038945aa4b72ae7a89e54d29b04ccc0feb62df5c9b7b67de43c2530","No security vendors flagged this file as malicious"
"13636","CHXSmartScreen.exe","C:\Windows\SystemApps\Microsoft.Windows.AppRep.ChxApp_cw5n1h2txyewy\CHXSmartScreen.exe","872551f1e705976039aad9e84e96948f1fcbd165324252089c63a95e62cd98f0","No security vendors flagged this file as malicious"
"5272","conhost.exe","C:\WINDOWS\system32\conhost.exe","6651a3beb0df1e66363a950c37dc9305f185d161fb03761e172ccfa0a4ab4f89","No security vendors flagged this file as malicious"
"14948","conhost.exe","C:\WINDOWS\system32\conhost.exe","6651a3beb0df1e66363a950c37dc9305f185d161fb03761e172ccfa0a4ab4f89","No security vendors flagged this file as malicious"
"3276","conhost.exe","C:\WINDOWS\system32\conhost.exe","6651a3beb0df1e66363a950c37dc9305f185d161fb03761e172ccfa0a4ab4f89","No security vendors flagged this file as malicious"
"2912","conhost.exe","C:\WINDOWS\system32\conhost.exe","6651a3beb0df1e66363a950c37dc9305f185d161fb03761e172ccfa0a4ab4f89","No security vendors flagged this file as malicious"
"2932","conhost.exe","C:\WINDOWS\system32\conhost.exe","6651a3beb0df1e66363a950c37dc9305f185d161fb03761e172ccfa0a4ab4f89","No security vendors flagged this file as malicious"
"15076","conhost.exe","C:\WINDOWS\system32\conhost.exe","6651a3beb0df1e66363a950c37dc9305f185d161fb03761e172ccfa0a4ab4f89","No security vendors flagged this file as malicious"
"19108","crashhelper.exe","C:\Program Files\Mozilla Firefox\crashhelper.exe","9b40b8dbfe38c6270327ffe4d8d1af4477da603f68f2971bb954a985b569f563","No security vendors flagged this file as malicious"
"5472","crashpad_handler.exe","C:\Program Files\TeamViewer\crashpad_handler.exe","0955e5e5670ac902e1bbb464b57c1b91c295c0c8ebdccf216b63d0a5e9725253","No security vendors flagged this file as malicious"
"10896","crashpad_handler.exe","C:\Program Files\TeamViewer\crashpad_handler.exe","0955e5e5670ac902e1bbb464b57c1b91c295c0c8ebdccf216b63d0a5e9725253","No security vendors flagged this file as malicious"
"3756","csrss.exe","","",""
"1052","csrss.exe","","",""
"1200","ctfmon.exe","C:\WINDOWS\system32\ctfmon.exe","8c9ac9325acff164270390d32736f06ea53233cdd54e971ae005c4ddeec4d606","No security vendors flagged this file as malicious"
"17280","Dell.CoreServices.Client.exe","C:\Program Files\Dell\TechHub\Dell.CoreServices.Client.exe","87fbd11da8da753a5cace1000cf2332053a57dc3a2e8411851a85244ba3f456d","No security vendors flagged this file as malicious"
"7588","Dell.TechHub.Analytics.SubAgent.exe","C:\Program Files\Dell\DTP\AnalyticsSubAgent\Dell.TechHub.Analytics.SubAgent.exe","d853ce56a3a4ed82964d5c959e60d752339018c8a150831baa58eb2df21e9be4","No security vendors flagged this file as malicious"
"14352","Dell.TechHub.DataManager.SubAgent.exe","C:\Program Files\Dell\DTP\DataManagerSubAgent\Dell.TechHub.DataManager.SubAgent.exe","dd4e8d1c9032622aa1207f079cef0a8a745e993aca6f3a52d63f2c4dee19d497","No security vendors flagged this file as malicious"
"16612","Dell.TechHub.Diagnostics.SubAgent.exe","C:\Program Files\Dell\DTP\DiagnosticsSubAgent\Dell.TechHub.Diagnostics.SubAgent.exe","37f52fcf8ca87e8523d787cc3ffb9fb85daa09e3e54bc2454c9fc3a032802242","No security vendors flagged this file as malicious"
"5388","Dell.TechHub.exe","C:\Program Files\Dell\TechHub\Dell.TechHub.exe","a56195c596f8812a1739bcdeef26481ad6312c001dc4b09fdc6e33938f51fc20","No security vendors flagged this file as malicious"
"16764","Dell.TechHub.Instrumentation.SubAgent.exe","C:\Program Files\Dell\DTP\InstrumentationSubAgent\Dell.TechHub.Instrumentation.SubAgent.exe","dedb2eaf8aac2c5befbe1aa8f13b715a3f8ae60bb0ec5b2e93675b0b5f0929df","No security vendors flagged this file as malicious"
"19180","Dell.TechHub.Instrumentation.UserProcess.exe","C:\Program Files\Dell\DTP\InstrumentationSubAgent\Dell.TechHub.Instrumentation.UserProcess.exe","55e33d11b691f5ca6be6076f3d4aef68747f8a58bff1b62020696c2e0cabcebd","No security vendors flagged this file as malicious"
"3088","Dell.Update.SubAgent.exe","C:\Program Files (x86)\Dell\UpdateService\DCF\Dell.Update.SubAgent.exe","d43f29d0eab97e6bc21310b07dd711037425b3e562f59ab2a74367a5c742f0d5","No security vendors flagged this file as malicious"
"5380","DellFFDPWmiService.exe","C:\WINDOWS\System32\drivers\DellFFDPWmiService.exe","8ceda398ae2240ed7d61be29e31060be4123a5daa89ae1e0f9a0118a7bb0fd44","No security vendors flagged this file as malicious"
"7556","dllhost.exe","C:\WINDOWS\system32\DllHost.exe","50c9c2edea6c51f1aad2dd80a59f4edb32637f51714f8472d216e5b9bdacdabf","No security vendors flagged this file as malicious"
"15236","dllhost.exe","C:\WINDOWS\system32\DllHost.exe","50c9c2edea6c51f1aad2dd80a59f4edb32637f51714f8472d216e5b9bdacdabf","No security vendors flagged this file as malicious"
"17824","dwm.exe","C:\WINDOWS\System32\dwm.exe","2c283046e801bd9eb6163003ca049dfc9ba3cffdb9401dcd5516aecb4c6f5510","No security vendors flagged this file as malicious"
"5596","esif_uf.exe","C:\WINDOWS\System32\DriverStore\FileRepository\dptf_cpu.inf_amd64_c2c5b0e17a28a48f\esif_uf.exe","75e93242cfbf6daba641a1ba6f833708fc1c07bc8aae1fc6d5a4929a49d9fe2b","No security vendors flagged this file as malicious"
"17780","explorer.exe","C:\WINDOWS\Explorer.EXE","11aef65ef73c2d8fdf6688fbbd16f60c1b58641c46405a1b0fb0f9c2c5b35402","No security vendors flagged this file as malicious"
"15400","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","9714f40774c80376d66eedf538ba4a00e1863b68dfe77abfaec1b82b78f05e34","No security vendors flagged this file as malicious"
"16704","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","9714f40774c80376d66eedf538ba4a00e1863b68dfe77abfaec1b82b78f05e34","No security vendors flagged this file as malicious"
"2516","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","9714f40774c80376d66eedf538ba4a00e1863b68dfe77abfaec1b82b78f05e34","No security vendors flagged this file as malicious"
"11188","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","9714f40774c80376d66eedf538ba4a00e1863b68dfe77abfaec1b82b78f05e34","No security vendors flagged this file as malicious"
"15612","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","9714f40774c80376d66eedf538ba4a00e1863b68dfe77abfaec1b82b78f05e34","No security vendors flagged this file as malicious"
"17796","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","9714f40774c80376d66eedf538ba4a00e1863b68dfe77abfaec1b82b78f05e34","No security vendors flagged this file as malicious"
"14768","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","9714f40774c80376d66eedf538ba4a00e1863b68dfe77abfaec1b82b78f05e34","No security vendors flagged this file as malicious"
"6000","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","9714f40774c80376d66eedf538ba4a00e1863b68dfe77abfaec1b82b78f05e34","No security vendors flagged this file as malicious"
"10020","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","9714f40774c80376d66eedf538ba4a00e1863b68dfe77abfaec1b82b78f05e34","No security vendors flagged this file as malicious"
"13960","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","9714f40774c80376d66eedf538ba4a00e1863b68dfe77abfaec1b82b78f05e34","No security vendors flagged this file as malicious"
"6644","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","9714f40774c80376d66eedf538ba4a00e1863b68dfe77abfaec1b82b78f05e34","No security vendors flagged this file as malicious"
"16900","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","9714f40774c80376d66eedf538ba4a00e1863b68dfe77abfaec1b82b78f05e34","No security vendors flagged this file as malicious"
"5260","firefox.exe","C:\Program Files\Mozilla Firefox\firefox.exe","9714f40774c80376d66eedf538ba4a00e1863b68dfe77abfaec1b82b78f05e34","No security vendors flagged this file as malicious"
"16340","fontdrvhost.exe","C:\WINDOWS\System32\fontdrvhost.exe","539d2eb493a65ab225103a8aa088c51ce0ced96041473681b96316e9068f06d2","No security vendors flagged this file as malicious"
"1516","fontdrvhost.exe","C:\WINDOWS\system32\fontdrvhost.exe","539d2eb493a65ab225103a8aa088c51ce0ced96041473681b96316e9068f06d2","No security vendors flagged this file as malicious"
"12276","hidfind.exe","C:\WINDOWS\system32\DellTPad\HidFind.exe","cded7f19ded976677e7bcd5d5cf8d2c72eb2a2a64600c82a176b3223a4b45031","No security vendors flagged this file as malicious"
"5212","HidMonitorSvc.exe","C:\WINDOWS\system32\DellTPad\HidMonitorSvc.exe","58e7268d6df4e90688750701012565af16aff3a143277886c896bb8e671cd9d1","No security vendors flagged this file as malicious"
"4704","HostControlService.exe","C:\WINDOWS\System32\HostControlService.exe","921fb6b019316f5c87c30b17274c0934a50ed8579b362da17b754aa689e76c01","No security vendors flagged this file as malicious"
"4712","HostStorageService.exe","C:\WINDOWS\System32\HostStorageService.exe","b7e38ec16ac6bc04d4e730fdf4a47246f54d6af035e6452f689cc5cfe11315d3","No security vendors flagged this file as malicious"
"0","Idle.exe","","",""
"3000","igfxCUIService.exe","C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_0bd497310795eeb4\igfxCUIService.exe","9bcc1672de269e41b64fe16e66c2f0715035aeefe4b21165e553f67ed9e4805a","No security vendors flagged this file as malicious"
"14692","igfxEM.exe","C:\WINDOWS\System32\DriverStore\FileRepository\cui_dch.inf_amd64_0bd497310795eeb4\igfxEM.exe","7aeb6c90f9659d944890bd17dd670732c19773db53b137c50a4ffa284ba256cf","No security vendors flagged this file as malicious"
"2080","IntelCpHDCPSvc.exe","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_30c72947a1f2fc36\IntelCpHDCPSvc.exe","dda4eb6bbb34e367bdaf35f1356d3702a7247fccdd29583dc22fdf7e1ce2d911","No security vendors flagged this file as malicious"
"2548","IntelCpHeciSvc.exe","C:\WINDOWS\System32\DriverStore\FileRepository\iigd_dch.inf_amd64_30c72947a1f2fc36\IntelCpHeciSvc.exe","91e15254153dc37eca321cf44c7ebc0691c961725839683525ed6717198ba2f5","No security vendors flagged this file as malicious"
"7764","jhi_service.exe","C:\WINDOWS\System32\jhi_service.exe","06dc78b0daef262a066dbef082f1caa075fa91dde34ab3656c694224f0abb717","No security vendors flagged this file as malicious"
"5568","LMS.exe","C:\WINDOWS\Intel\Intel(R) Management Engine Components\LMS\LMS.exe","ac62e4072c8ca38581a2f7fbd900565440412194eec30ad00d4c591b7c56b8e3","No security vendors flagged this file as malicious"
"15504","LockApp.exe","C:\WINDOWS\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe","2944f3cba0f16f14583cb3c3a7e24ed073e4eecad7ab6620659d58fb3594d122","No security vendors flagged this file as malicious"
"1336","LsaIso.exe","","",""
"1356","lsass.exe","","",""
"3332","Memory Compression.exe","","",""
"10976","MicrosoftStartFeedProvider.exe","C:\Program Files\WindowsApps\Microsoft.StartExperiencesApp_1.195.0.0_x64__8wekyb3d8bbwe\MicrosoftStartFeedProvider\MicrosoftStartFeedProvider.exe","28154cc65110b17ba6cff5a7871216cbe76372c807bd63d470fcd00ae025ce39","No security vendors flagged this file as malicious"
"5292","MigrationService.exe","C:\Program Files (x86)\Samsung\Samsung Magician\MigrationService\MigrationService.exe","372739fc23dfa8bbf2f526556463ee5fb0792ab673afb5d609d322c952e165fc","No security vendors flagged this file as malicious"
"5584","MpDefenderCoreService.exe","","",""
"5836","mqsvc.exe","C:\WINDOWS\system32\mqsvc.exe","d88eeb1500c559b2ca1f77ab7aaf8039e0d913b111fb23851bb462009e8864b1","No security vendors flagged this file as malicious"
"1712","msedgewebview2.exe","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe","3342715acf465301571f6a06543d324c0386c6f940103c708b3458beec60ce65","No security vendors flagged this file as malicious"
"4772","msedgewebview2.exe","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe","3342715acf465301571f6a06543d324c0386c6f940103c708b3458beec60ce65","No security vendors flagged this file as malicious"
"2352","msedgewebview2.exe","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe","3342715acf465301571f6a06543d324c0386c6f940103c708b3458beec60ce65","No security vendors flagged this file as malicious"
"8840","msedgewebview2.exe","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe","3342715acf465301571f6a06543d324c0386c6f940103c708b3458beec60ce65","No security vendors flagged this file as malicious"
"4720","msedgewebview2.exe","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe","3342715acf465301571f6a06543d324c0386c6f940103c708b3458beec60ce65","No security vendors flagged this file as malicious"
"14776","msedgewebview2.exe","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe","3342715acf465301571f6a06543d324c0386c6f940103c708b3458beec60ce65","No security vendors flagged this file as malicious"
"13168","msedgewebview2.exe","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe","3342715acf465301571f6a06543d324c0386c6f940103c708b3458beec60ce65","No security vendors flagged this file as malicious"
"5564","msedgewebview2.exe","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe","3342715acf465301571f6a06543d324c0386c6f940103c708b3458beec60ce65","No security vendors flagged this file as malicious"
"16256","msedgewebview2.exe","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe","3342715acf465301571f6a06543d324c0386c6f940103c708b3458beec60ce65","No security vendors flagged this file as malicious"
"11068","msedgewebview2.exe","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe","3342715acf465301571f6a06543d324c0386c6f940103c708b3458beec60ce65","No security vendors flagged this file as malicious"
"5488","msedgewebview2.exe","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe","3342715acf465301571f6a06543d324c0386c6f940103c708b3458beec60ce65","No security vendors flagged this file as malicious"
"9260","msedgewebview2.exe","C:\Program Files (x86)\Microsoft\EdgeWebView\Application\143.0.3650.139\msedgewebview2.exe","3342715acf465301571f6a06543d324c0386c6f940103c708b3458beec60ce65","No security vendors flagged this file as malicious"
"12692","msiexec.exe","C:\Windows\syswow64\MsiExec.exe","34e2e75cb8622809e4f95b3e665071d755870f503167268f23d0110cc5f7ee2c","No security vendors flagged this file as malicious"
"3912","msiexec.exe","C:\WINDOWS\system32\msiexec.exe","677417ba3ad87f73cd95ad30423998c6089e7eef381b309a562cda1eb6fe178e","No security vendors flagged this file as malicious"
"18064","msiexec.exe","C:\Windows\System32\MsiExec.exe","677417ba3ad87f73cd95ad30423998c6089e7eef381b309a562cda1eb6fe178e","No security vendors flagged this file as malicious"
"6052","MsMpEng.exe","","",""
"2928","NgcIso.exe","","",""
"17160","NisSrv.exe","","",""
"16288","Notepad.exe","C:\Program Files\WindowsApps\Microsoft.WindowsNotepad_11.2508.38.0_x64__8wekyb3d8bbwe\Notepad\Notepad.exe","3d5b56ec5cbe064e10b9525ef74359a4e6b83a9c3341f5fbaac629bce80b6817","No security vendors flagged this file as malicious"
"5324","OfficeClickToRun.exe","C:\Program Files\Common Files\Microsoft Shared\ClickToRun\OfficeClickToRun.exe","f1b866a7e82bff4525a5ddcbc645381fc84941c605cf1516a7ebe893916ea5ae","No security vendors flagged this file as malicious"
"5480","OneApp.IGCC.WinService.exe","C:\WINDOWS\System32\DriverStore\FileRepository\igcc_dch.inf_amd64_4d06d7f3655985a2\OneApp.IGCC.WinService.exe","2f395bc8dde5774b003ab8285998d7bea9c7680fbf4ebd715c9c6326cb0d18dd","No security vendors flagged this file as malicious"
"5812","openvpnserv.exe","C:\Program Files\OpenVPN\bin\openvpnserv.exe","6e51de1b4ba02096aeaec7e8881e8b5835987a57be49ef654d9caaeb9340a5b4","No security vendors flagged this file as malicious"
"5768","openvpnserv2.exe","C:\Program Files\OpenVPN\bin\openvpnserv2.exe","d1e995a2d32e7833a369aa849e8b877162e07c1a161c6dccb95ca2052fc8b1e7","No security vendors flagged this file as malicious"
"18764","PhoneExperienceHost.exe","C:\Program Files\WindowsApps\Microsoft.YourPhone_1.25112.36.0_x64__8wekyb3d8bbwe\PhoneExperienceHost.exe","989a00579b136f8a966f6a9d18d5eab1a54fe68c65c835f81c35c0e2953b2938","No security vendors flagged this file as malicious"
"15984","Photos.exe","C:\Program Files\WindowsApps\Microsoft.Windows.Photos_2025.11120.5001.0_x64__8wekyb3d8bbwe\Photos.exe","1b6675585dfc735ee45988a0dc1f49508ce9ed4f5b563fc33fbb3be6dc914f9d","No security vendors flagged this file as malicious"
"5872","PresentationFontCache.exe","C:\WINDOWS\Microsoft.Net\Framework64\v3.0\WPF\PresentationFontCache.exe","8bc01bc94d3cd6591c416ee7c68714a90e1d8c9f3117e1b3058af83e872296f9","No security vendors flagged this file as malicious"
"15520","RAVBg64.exe","C:\Program Files\Realtek\Audio\HDA\RAVBg64.exe","e7ec22534ed990cdd38d3fb78969050a5a8081087000b6a6ea001e3ffa511049","No security vendors flagged this file as malicious"
"17380","RAVBg64.exe","C:\Program Files\Realtek\Audio\HDA\RAVBg64.exe","e7ec22534ed990cdd38d3fb78969050a5a8081087000b6a6ea001e3ffa511049","No security vendors flagged this file as malicious"
"18532","RAVBg64.exe","C:\Program Files\Realtek\Audio\HDA\RAVBg64.exe","e7ec22534ed990cdd38d3fb78969050a5a8081087000b6a6ea001e3ffa511049","No security vendors flagged this file as malicious"
"180","Registry.exe","","",""
"5784","RstMwService.exe","C:\WINDOWS\System32\DriverStore\FileRepository\iastorac.inf_amd64_9c788f1d162b1224\RstMwService.exe","1e56ebcdc6b7bebf21deb8ff5398f2cba956b3ec47073851cf7473feb7b56db0","No security vendors flagged this file as malicious"
"3780","RtkAudioService64.exe","C:\Program Files\Realtek\Audio\HDA\RtkAudioService64.exe","f00b31124783ea0cdda33606351019ec94f2c9ffe26c31d42250b775bcf1a464","No security vendors flagged this file as malicious"
"18596","RtkNGUI64.exe","C:\Program Files\Realtek\Audio\HDA\RtkNGUI64.exe","6e52e1c976a501c57f2fbb456d31673603fc5c36f1bcdbaaf03695d51d62c566","No security vendors flagged this file as malicious"
"964","RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe","9d4571f9c93bc1cfa5f390d09ef79ac0a29656122a793cb6376027566b8d3121","No security vendors flagged this file as malicious"
"7792","RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe","9d4571f9c93bc1cfa5f390d09ef79ac0a29656122a793cb6376027566b8d3121","No security vendors flagged this file as malicious"
"15576","RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe","9d4571f9c93bc1cfa5f390d09ef79ac0a29656122a793cb6376027566b8d3121","No security vendors flagged this file as malicious"
"18632","RuntimeBroker.exe","C:\Windows\System32\RuntimeBroker.exe","9d4571f9c93bc1cfa5f390d09ef79ac0a29656122a793cb6376027566b8d3121","No security vendors flagged this file as malicious"
"5820","SamsungMagicianSVC.exe","C:\Program Files (x86)\Samsung\Samsung Magician\SamsungMagicianSVC.exe","6a5e95024d7b7cfdff6cfd691d969dc8fc821e2f2355d12043f5c1b3043904be","No security vendors flagged this file as malicious"
"1524","SamsungPortableSSDMon.exe","C:\ProgramData\Samsung Apps\Portable SSD\SamsungPortableSSDMon.exe","387487bbc22551d7945cb6e3b5e5d062a93eacc55f0b8c572311c9aa1aaac14f","No security vendors flagged this file as malicious"
"13612","SearchHost.exe","C:\WINDOWS\SystemApps\MicrosoftWindows.Client.CBS_cw5n1h2txyewy\SearchHost.exe","95c4eea46858986d0ad626cfa7ea6b88d30fc3d672fc15ef5b6318e7650c4999","No security vendors flagged this file as malicious"
"6320","SearchIndexer.exe","C:\WINDOWS\system32\SearchIndexer.exe","60c44b6d9a437dc572f4c520c12bba4b2488bfa7168c0bfb241b08e0742094e2","No security vendors flagged this file as malicious"
"140","Secure System.exe","","",""
"1328","services.exe","","",""
"17700","ServiceShell.exe","C:\Program Files (x86)\Dell\UpdateService\ServiceShell.exe","12c871a4c3a9e8b27037b229704ad7af8ecaeffe61bacb37f769cb8d9b94b0df","No security vendors flagged this file as malicious"
"6964","ShellHost.exe","C:\Windows\System32\ShellHost.exe","ca625b7bf8e2e471eb4eb8c2287f59d980faed6fea328439d11aaad61c85ce6e","No security vendors flagged this file as malicious"
"15268","sihost.exe","C:\WINDOWS\system32\sihost.exe","1e115ef87c00e685f8e7b1b184eb9fa3470a0ec75b678a70d3d2d3cbfde3dcb7","No security vendors flagged this file as malicious"
